"ID","Type","Status","Priority","Milestone","Owner","Summary","AllLabels"
"378","","Fixed","","","cev...@google.com","Flash: out-of-bounds read in UTF conversion","CCProjectZeroMembers, CVE-2015-3134, Deadline-90, Finder-cevans, Finder-external, Finder-hawkes, Finder-mjurczyk, Fixed-2015-Jul-8, Id-3676, Product-Flash, Reported-2015-May-12, Severity-Low, Vendor-Adobe"
"379","","Fixed","","","scvi...@google.com","Microsoft Office 2007: object vtable memory corruption","CCProjectZeroMembers, CVE-2015-2379, Deadline-90, Finder-scvitti, Product-Office, Reported-2015-May-13, Severity-High, Vendor-Microsoft, id-30231"
"380","","Fixed","","","cev...@google.com","Adobe Flash: Use-after-free in scale9Grid","CCProjectZeroMembers, Deadline-90, Finder-natashenka, Product-Flash, Reported-2015-May-15, Severity-High, Vendor-Adobe"
"381","","Fixed","","","cev...@google.com","Adobe Flash: Use-after-free in tabIndex setter","CCProjectZeroMembers, CVE-2015-3136, Deadline-90, Finder-natashenka, Fixed-2015-Jul-8, Product-Flash, Reported-2015-May-15, Severity-High, Vendor-Adobe"
"382","","Fixed","","","mjurc...@google.com","Windows Kernel ATMFD.DLL out-of-bounds reads from the input CharString stream","CCProjectZeroMembers, CVE-2015-2458, Deadline-90, Finder-mjurczyk, Fixed-2015-Aug-11, MSRC-30291, Product-Kernel, Reported-2015-May-21, Severity-Low, Vendor-Microsoft"
"383","","Fixed","","","mjurc...@google.com","Windows Kernel ATMFD.DLL invalid memory access due to malformed CFF table (ATMFD+0x34072 / ATMFD+0x3407b)","CCProjectZeroMembers, CVE-2015-2459, Deadline-90, Finder-mjurczyk, Fixed-2015-Aug-11, MSRC-30292, MSRC-30293, Product-Kernel, Reported-2015-May-21, Severity-Critical, Vendor-Microsoft"
"384","","Fixed","","","mjurc...@google.com","Windows Kernel ATMFD.DLL invalid memory access due to malformed CFF table (ATMFD+0x3440b / ATMFD+0x3440e)","CCProjectZeroMembers, CVE-2015-2460, Deadline-90, Finder-mjurczyk, Fixed-2015-Aug-11, MSRC-30294, Product-Kernel, Reported-2015-May-21, Severity-Critical, Vendor-Microsoft"
"385","","Fixed","","","mjurc...@google.com","Windows Kernel ATMFD.DLL write to uninitialized address due to malformed CFF table","CCProjectZeroMembers, CVE-2015-2432, Deadline-90, Finder-mjurczyk, Fixed-2015-Aug-11, MSRC-30295, Product-Kernel, Reported-2015-May-21, Severity-Critical, Vendor-Microsoft"
"386","","Fixed","","","mjurc...@google.com","Windows Kernel ATMFD.DLL out-of-bounds read due to malformed Name INDEX in the CFF table","CCProjectZeroMembers, CVE-2015-2461, Deadline-90, Finder-mjurczyk, Fixed-2015-Aug-11, MSRC-30296, Product-Kernel, Reported-2015-May-21, Severity-Medium, Vendor-Microsoft"
"387","","Fixed","","","scvi...@google.com","Microsoft Office 2007 and 2010 use after free vulnerability","CCProjectZeroMembers, CVE-2015-2380, Deadline-90, Finder-scvitti, Product-Office, Reported-2015-May-21, Severity-High, Vendor-Microsoft, id-30251"
